"","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"Ankzf1",9.03179953813322,8.92906599357861,8.91028451484499,8.82763201594528,8.88279438466592,8.92536145131653
"Speg",8.62259855649658,8.34752593925984,8.55033703346704,8.38460996523566,8.42460250563795,8.33933144984797
"Obsl1",10.6868289484695,10.7812336141003,10.8677457194294,10.5754337522332,10.6932590401548,10.5006319580496
"Mogat1",3.08876873511339,3.1468661276391,3.17001784347929,3.25182918978999,2.96085412909675,3.05414124734033
"Col4a3",4.68969201978012,4.65011788253737,5.56267551878973,4.90623921707861,5.75907662777144,4.43988735479404
"Agfg1",11.1752502404988,11.2049230637989,11.444576337421,11.4475892062293,11.6542407219173,11.2964252788011
"Daw1",4.3567952292814,4.0458376414711,4.13296583514879,4.0398742781055,3.67806006190707,3.92731777023374
"Fbxo36",3.31847524845574,3.09614989708383,3.40876229496799,3.2533188968135,3.08751327599123,2.96896636420416
"Sp100",4.25275622099062,4.22382333572986,4.2711152756788,4.9724342682239,4.03702141917769,4.47190234638224
"Pde6d",9.17078740544973,9.01937876609898,9.07636596818902,9.12523715859329,9.17179958858096,9.16723549117246
"Cops7b",9.38124356686452,9.36782574824575,9.33496917514621,9.44184995864139,9.46533202149311,9.49315647247618
"Eif4e2",9.18495860587915,9.36136623938332,9.30902986559539,9.3883352031468,9.44355216030301,9.38007623876075
"Snorc",3.09230695923175,3.02715536863796,2.84136417812615,3.12340252677848,3.34115158541802,3.45064404190695
"Atg16l1",9.06828699565601,8.98549143980659,9.04715452424503,9.12834816021455,9.25175842846311,9.1697879878251
"Cops8",9.91129489409158,9.78510288444194,9.78099633124686,9.74215082555402,9.8019095484167,9.83923274500527
"Ube2f",9.42780878710436,9.44955428689989,9.50138204966251,9.4089394839328,9.46102520237982,9.37228183049593
"Scly",7.91179877327364,7.86212918206082,7.86086017157879,7.85302194779814,8.08995601123623,7.99759278560563
"Traf3ip1",7.56633468202736,7.53780396616244,7.51511490418968,7.61984746808303,7.71787547997619,7.70581589393483
"Hdac4",8.91633950204024,8.69542472919607,8.93743548110388,8.81072336672351,8.97471387395789,8.76116525485498
"Kif1a",5.42186171225148,5.29237091175345,5.02272430205568,5.49800536990036,5.08882973964332,5.62780956471863
"Mterf4",7.8022190403906,7.70589188715908,7.72028251222809,7.63653168403974,7.50098027073497,7.60252892893411
"Thap4",9.87813630731962,9.72308706816747,9.6876500560946,9.77909371461727,9.67813365713924,9.8415753175272
"Ing5",7.92050208098342,7.79309918061116,7.75437564372332,7.61149947120022,7.69376758829177,7.75505851681997
"Twsg1",11.3727893759592,11.1946907995202,11.1870915390594,10.9500540294354,10.9433387664538,11.0433449466249
"LOC363324",0,0,0,0,0,0
"Dennd1c",-1.4866234800681,-1.48688601893786,-1.50946116635307,-1.4865367566238,-1.48524511997079,-1.4631845214472
"Vmac",8.66749666654146,8.31696757514723,8.26760561163272,8.27701388683134,8.00486836813253,8.36556763669356
"Ticam1",10.0471659081429,9.79610031465037,9.89628233343493,9.9787562716586,9.91536136719909,9.97240959739058
"Plin4",7.32973544174573,6.22944390409256,6.56905471642128,6.54644662153104,5.70525417339737,6.33638535396207
"Ubxn6",10.0165817385524,9.83305043778562,9.79556714096161,9.83629074557476,9.73880795762879,9.91679829880919
"Chaf1a",8.94079659229728,9.14303470079775,9.24449908320122,9.0908921652445,8.99827990227429,8.8420025971057
"Stap2",7.84113443889031,7.63406935302661,7.23532557496759,7.33698061072427,6.70062823524388,7.52108074397495
"LOC363337",-0.343163163082306,-0.373267421394119,-0.365485129001223,-0.342758256668259,-0.402781778537981,-0.36550018084011
