"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C"
"Nuak1",10.5145134039621,10.2304457692887,10.6410846551986,10.8876333412379,10.813652570278,10.5820378871848
"Aldh1l2",10.7493426498122,10.8411910397713,10.5016272320669,10.9669888724948,10.9559271285818,11.2550976132631
"RGD1563365",8.18037625784833,8.07353295498068,7.90759830700641,7.94626041554942,7.97619341517603,8.18058321477082
"Nup37",8.9890097385911,8.59242807961881,8.60053779377522,8.52447019404312,8.44403197889608,8.67443220179934
"Washc3",9.28093668243914,9.60167763196577,9.46480789383926,9.42032093212352,9.46222284820419,9.41777115352705
"RGD1561102",0.849242995577991,0.823211514640477,0.868868761555839,0.851177161982995,0.765169303551419,0.775531726320602
"Ano4",0,0,0,0,0,0
"Nedd1",8.32609069030209,8.11019619519584,8.18961003733575,8.13528336280034,8.13019944034112,8.16127480698396
"Lta4h",10.2978857346889,10.0101196447242,10.0565975727921,10.1452804599897,10.1323619830121,10.2362263384154
"Ntn4",7.81561333614891,7.62975011549116,8.5359295649153,8.36147171912571,8.21250916152894,7.47374260123206
"Vezt",9.07072418726509,8.96698009464764,9.03825057770347,9.13262466728729,9.1969451253325,9.1453864595628
"Ndufa12",10.6054005696384,9.98469376809223,9.97031732642186,10.1857678546371,10.1920134720671,10.5136205057955
"Mrpl42",9.07668319224267,8.44912335226463,8.65848057756514,8.56935095775995,8.6837417735778,8.73096906035739
"Mgat4c",0,0,0,0,0,0
"Lrriq1",1.58639963974791,1.64330234598503,1.61603079728764,1.67064265498471,1.69489848405011,1.68159076509624
"Tmtc2",8.11746703804517,8.8421323442466,8.28588320990239,8.39931486479977,8.31774104617058,8.55244443672867
"Glipr1",7.48370972034958,7.04483078540536,7.7582898045621,7.27601363825347,7.26849616871445,6.77823535179933
"Rab21",9.90035162114248,9.73379928922984,9.79022703273614,9.63706495212222,9.6743140962385,9.68253794663038
