"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bag1",1248.91899726755,0.179236340152264,0.130333047645033,1.89020672938406,0.169178606479416,0.491969936664024
"Ppp1r12a",2378.10202478465,-0.311982688308096,0.226483186802353,1.88988232578542,0.169215194739543,0.491969936664024
"Fndc3a",865.348154844565,-0.208360933548137,0.151464563778833,1.88962277655028,0.169244474855842,0.491969936664024
"Ndufa4",1710.92157075861,-0.198325561596089,0.144142190723209,1.88922371607873,0.169289504768772,0.491997623234244
"Tfdp2",598.020804218724,0.776875143946373,0.524108829042384,1.88790239850739,0.16943870012195,0.492327965525239
"Slc26a6",156.624898447014,0.310392211897596,0.225599212055525,1.88711222150678,0.169527994297732,0.492484154503916
"Neil1",156.214659059641,0.431269319218592,0.31215258472091,1.8854706568205,0.169713672414901,0.492810023462754
"Morf4l2",8612.04456412506,-0.186373129073689,0.135582591080649,1.88536341660438,0.169725810520891,0.492810023462754
"RGD1564405",10.0063123467843,-1.28342157689556,0.916084484340364,1.88502019640127,0.169764664986494,0.492810023462754
"Lrrfip2",768.456556854945,0.165526255332225,0.120540185468784,1.88486335081164,0.169782424190747,0.492810023462754
"Tvp23b",882.904028164827,0.18055586387942,0.131541366546121,1.88289351194231,0.170005645360187,0.49326162356565
"Slc39a8",213.880776894663,0.410765543330053,0.297621454148722,1.8820141150481,0.170105406909899,0.49326162356565
"Zdhhc7",715.004744360264,0.214747982175594,0.156342622541369,1.88195036495698,0.170112641532228,0.49326162356565
"Cep104",739.19249841662,0.206954974791147,0.150794488194762,1.88179670354045,0.170130081112787,0.49326162356565
"Slc36a4",623.185835479256,-0.254874282588411,0.1856778941347,1.88172407910082,0.170138324232778,0.49326162356565
"Lims2",1359.67758241751,-0.282468920084591,0.205053251196248,1.88160722603988,0.170151588413351,0.49326162356565
"Abtb2",495.865796412681,0.252548106123703,0.183966949558365,1.88126588683436,0.170190341178315,0.493270771325645
"Phospho1",86.2695690562786,0.549376169414091,0.395442066956304,1.88094901260844,0.17022632546421,0.493271892922952
"Faxdc2",459.935302347263,1.07029307634818,0.683000320259646,1.87956428845375,0.170383677457344,0.493473328560152
"Cebpz",1030.70279819945,-0.178176510854751,0.129890550845712,1.87946090112943,0.170395432488035,0.493473328560152
"Osbp",1740.78472550773,-0.265461279780369,0.193380195906742,1.87939720003905,0.170402675698948,0.493473328560152
"C1qtnf4",3.90377162825766,-1.91833195748226,1.3885464797878,1.87880350453171,0.170470199578891,0.493565724104615
"Slc39a4",3.32970389304105,1.94390033613756,1.42113728722248,1.87708230320245,0.170666133876988,NA
"Mum1",380.168423054017,-0.291189537929874,0.212376499504959,1.87694833773381,0.170681394783327,0.494073968563309
"Nol6",1448.98523508648,-0.219321460867913,0.159858029286983,1.87582592671234,0.170809317741366,0.494341001658754
"Prss30",1.58040208306091,-2.81224964546375,2.1396396315262,1.87564169149725,0.170830325837078,NA
"Cnnm1",39.7026475589743,-1.69209093672602,1.04553863887092,1.87481826408128,0.170924256440673,0.494570353204928
"Utp15",740.593959072341,-0.350389020775394,0.253917032269523,1.87173427394278,0.171276583081492,0.495421650085313
"LOC691387",2188.51724133848,-0.448492901987083,0.323249934920438,1.87161723201461,0.171289970813216,0.495421650085313
"Nudt15",57.4803824264684,0.56344423069307,0.406753007210879,1.87123109716405,0.171334147013464,0.495446009007839
"Camk2g",1283.15279224618,-0.300051294159008,0.219001856995317,1.87038126178345,0.17143141951509,0.495499521377672
"Prdm16",510.532094262068,-0.690031691192783,0.494234723223951,1.86996691660551,0.171478868638734,0.495499521377672
"Rab40c",384.261380496964,-0.198228495721413,0.144944410232445,1.86984604185358,0.171492713566231,0.495499521377672
"Gfpt1",2592.69630262517,-0.342861646701563,0.247890184118186,1.86975698007974,0.171502915474498,0.495499521377672
"Ippk",167.79233528192,-0.391362977426315,0.285136523408436,1.86919880568568,0.171566869494166,0.495499521377672
"Gnb4",265.794629926541,-0.36941608294038,0.267680215125548,1.86896269335304,0.171593930814251,0.495499521377672
"Mrpl15",836.707881890833,-0.171297428596476,0.125245773598622,1.86888393103408,0.171602959016486,0.495499521377672
"Sf3a2",1555.88600170765,-0.344387354719211,0.249187805659192,1.86749863857941,0.171761838678055,0.495595918653078
"Mgst1",144.220556101297,0.906288816988876,0.656956763923542,1.86736874909271,0.171776744413096,0.495595918653078
"Mpv17l",57.4628070561628,-0.543701929778806,0.396708415018782,1.86736131621743,0.171777597432941,0.495595918653078
"LOC100360316",2.61296516431333,-3.12839065621098,2.00768238529871,1.86724279317253,0.171791200163303,NA
"Uckl1",719.628195390235,0.292366134905482,0.212884953240791,1.86689495862254,0.171831127814274,0.495595918653078
"Mthfs",224.835237774797,0.302972216706397,0.221619523243111,1.86688105206815,0.171832724358275,0.495595918653078
"Mfap3l",175.92229219213,0.41724172616136,0.303424566009249,1.86672245118997,0.171850933761134,0.495595918653078
"Epb41l4a",193.329589633359,-0.505518772598627,0.367595449289996,1.86590034352127,0.171945357751398,0.495765048348131
"Faap100",256.120753980189,-0.236973654600468,0.173408733578571,1.86511304959318,0.172035839073484,0.495853537307071
"Erich2",9.0153917730922,1.06273471369197,0.777648487847003,1.86464791412322,0.172089321410265,0.495853537307071
"Dnajc28",53.2518435299173,0.553245752790044,0.404288126812661,1.86409986434181,0.172152361950544,0.495853537307071
"Mars2",55.0806172144356,-0.492386208796965,0.359268116358289,1.86407722813112,0.17215496629749,0.495853537307071
"LOC100911305",55.0806172144356,-0.492386208796965,0.359268116358289,1.86407722813112,0.17215496629749,0.495853537307071
"Ddhd2",595.2422181718,0.325126118911466,0.236417467896582,1.86322794661706,0.172252710779796,0.496031964521121
"Coq8b",477.638743491977,0.303307091617991,0.221143297496919,1.8624968658584,0.172336902543162,0.49617129826316
"Gripap1",652.913015766201,0.233155510827075,0.170517912483649,1.86092678309046,0.172517874311909,0.496589153373519
"Arpc3",2685.4722778283,0.129038782772786,0.0946079027292149,1.85980902894731,0.172646842676727,0.496857175279627
"Efna1",355.789130021341,-0.287164623485552,0.210400910875823,1.85940425225974,0.172693573837057,0.496888466083908
"E2f8",315.273935682372,-0.683388908043001,0.474177248381648,1.85892283496545,0.172749172036264,0.496945251589477
"Ifit3",2.15140916811352,2.482985835193,1.834644222187,1.8578445375847,0.172873777776441,NA
"Mettl3",607.460089859507,0.267133515803996,0.195388909495437,1.85722926614903,0.172944923546718,0.497405107012635
"Cryl1",73.0327096266155,0.516501486004289,0.375063152244589,1.85690184224087,0.172982798331752,0.497410798191137
"Orc1",128.359122695557,-0.815001689041799,0.55919491472553,1.85652526826371,0.173026370351628,0.497432865967327
"LOC102552204",176.416563774158,-0.637955898814265,0.45672245330068,1.85582483078149,0.173107449036299,0.497547836016692
"Fam169a",9.14475214388496,-1.55708259718757,1.10223657331557,1.85542936423999,0.173153245311487,0.497547836016692
"Tnpo3",1836.803237531,-0.192825362660175,0.141322955555747,1.85524949775971,0.173174079029263,0.497547836016692
"Fig4",403.342967448366,0.190282240007766,0.13971152666875,1.85418914106123,0.173296957496172,0.497752894819415
"Lyplal1",228.029580020847,0.322221933933943,0.235596028963338,1.85401375028262,0.173317292163071,0.497752894819415
"Pik3r1",1932.09603933787,0.495226715368793,0.355199970275653,1.85255860510965,0.173486106448035,0.498107038436969
"LOC100911319",4989.23648854746,-0.244924803331069,0.179228454843164,1.85212001223681,0.173537025580621,0.498107038436969
"Alkbh3",480.888628453609,0.31468334563178,0.22977171898335,1.85192216323964,0.173560000801039,0.498107038436969
"Ptma",12628.5147799301,-0.258727197228929,0.189209001441083,1.8514881450448,0.173610413438785,0.498107038436969
"Nop2",1423.30279698401,-0.411280409388365,0.296566837570172,1.85140273587562,0.173620335978246,0.498107038436969
"Pdgfc",373.443309600716,-0.524981638239354,0.384303924198818,1.85067524832125,0.173704879405061,0.498220475176338
"Rbm15b",924.557366397672,-0.296578836304117,0.217465729934062,1.85044381929153,0.173731784372668,0.498220475176338
"Smad6",1131.75117904964,-0.372486840283126,0.271518210878626,1.84946198176216,0.173845982032183,0.498355595452643
"Ephx1",844.927654362236,0.605796031159306,0.425190805941058,1.84942031859632,0.173850829791302,0.498355595452643
"Arfgap3",1888.63661250057,0.170187120817775,0.125114804746204,1.84897106650561,0.173903112851106,0.498402365000573
"LOC103694306",14.0634827596728,-1.04637903427448,0.744315742051817,1.84812939729153,0.17400111335453,0.498580113265864
"Fez1",4.89692649167186,1.766464322113,1.26412673257021,1.84732486406916,0.174094849327293,0.498745571041616
"Ctps2",849.500392579638,0.326585824906776,0.238435246750617,1.84639279709157,0.174203516920761,0.498953727567379
"Tap1",414.821380110678,0.551928294753398,0.394085300604153,1.84540388684357,0.17431889713327,0.499181020371095
"Wtip",397.196833496313,-0.279282857484526,0.205265647109474,1.8449525610803,0.174371584400485,0.499228728313536
"Trappc6a",327.104095509654,0.620918267673668,0.438004668746262,1.84442983232246,0.174432630092533,0.499300341911222
"Anapc1",1970.55430635198,-0.343370626323307,0.250464468539408,1.84403678530043,0.174478547406228,0.499328631021912
"Psma5",1442.22004410975,-0.151491714912422,0.111626151451798,1.84076130701069,0.174861743625457,0.500313039264701
"Atp13a1",1723.23584091699,0.241434044589816,0.177283994633773,1.84039797114229,0.174904309762986,0.500313039264701
"Catsper2",41.3571908608671,0.542389429840432,0.399035298938582,1.83990464432776,0.174962123926221,0.500313039264701
"Ociad1",2195.9332855977,-0.134081903036953,0.0988303010072994,1.83986349536936,0.17496694726685,0.500313039264701
"Lsm5",169.765612774345,-0.607628416439839,0.434551981711702,1.83944613295102,0.175015877723681,0.500349704480512
"Slc27a1",868.303720511582,0.622373400422878,0.435999316790342,1.8390248185853,0.175065287485377,0.500387724563712
"Itga2b",12.698053992193,0.901963887578062,0.664284443847956,1.83856693542085,0.175119004087367,0.500419755762309
"LOC103692165",187.811597637187,-0.326642380755489,0.24024702626469,1.83831370343773,0.175148720173717,0.500419755762309
"St3gal5",468.646173855224,-0.576330871618265,0.418403471045338,1.83737736337318,0.175258647608542,0.500630608103807
"Ppat",611.087545975004,-0.480065326712252,0.34685780163608,1.83665522489184,0.175343481821891,0.500769708904769
"Atp6v1g1",2990.83525606551,0.360383429327633,0.26231128192229,1.83624270058888,0.175391964918482,0.500804957320299
"Limd1",1110.11892267493,-0.179285027204955,0.132333199019158,1.83435067413306,0.175614528738339,0.501337149717175
"Ndfip2",705.577711019249,0.226164945038288,0.166971890693744,1.83221711433225,0.175865895324085,0.501951330897186
"Gemin4",541.419590989781,-0.220318739511343,0.162524297150246,1.83150428582847,0.175949970040383,0.502005881948478
"RGD1560314",19.5015630549864,-1.39207332153494,0.95187091234441,1.8312634490925,0.175978386054066,0.502005881948478
"Haus7",620.841626669001,0.386042368036884,0.281519476306135,1.83080159022752,0.176032894984961,0.502005881948478
"Kctd16",3.59442356007967,-2.43083407431112,1.63889827472365,1.83061996771548,0.176054335542794,NA
"Gmpr",164.464653428431,-0.385159979619601,0.284335360498906,1.83052624742074,0.176065400411703,0.502005881948478
"Txlna",2214.36156054183,-0.134028432514928,0.0990465788529978,1.83051993177301,0.176066146082818,0.502005881948478
"Snx29",570.914729120516,0.35227541215172,0.257624758078655,1.82898969669351,0.17624692408905,0.502322538834438
"Pla2g2e",11.9551294989882,1.93411213645746,1.35949057249014,1.82896615799529,0.176249706560802,0.502322538834438
"Evi2b",4.15185764743601,1.84107879215191,1.34696730971946,1.82701804691657,0.17648016532794,0.502778475828026
"Ttll7",111.453717130881,0.429649358212856,0.317321489687982,1.82700045758298,0.176482247703509,0.502778475828026
"Sec62",3179.2646308789,0.197867167442652,0.146102786187114,1.82647281532728,0.176544727678621,0.502853091766218
"Uros",141.663521036267,0.353830309519788,0.261329493627775,1.82593344399447,0.176608622905663,0.502931707275745
"Phf13",650.339671329564,-0.290822164426146,0.214867967294689,1.82384475856615,0.176856305386923,0.503533557375506
"Adamts10",2740.00018417374,0.325416078552422,0.238370176272819,1.82296200699702,0.176961105121521,0.503695887689107
"RGD1311595",447.964348528562,-0.316670804438352,0.234230498917739,1.82269404957097,0.176992931039428,0.503695887689107
"U2af2",3196.69424695667,-0.296371221271464,0.217764172586116,1.82244624344045,0.177022369419496,0.503695887689107
"Scrt1",1.52552703855871,3.53327908859452,2.74414852173781,1.82175514744435,0.177104498719911,NA
"Plce1",362.739854981547,-0.270634257642177,0.200371497168994,1.82158893885172,0.177124257375155,0.503801976659025
