"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fancg",138.61163002851,-0.121856024138904,0.315083459023294,0.148258039071614,0.70020562756484,0.999634216070306
"Panx2",19.9688809306939,-0.224604546736283,0.581038832790465,0.148216541303725,0.700245554571474,0.999634216070306
"Cldn6",0.881293789510716,1.63581251068663,3.34540530741082,0.148172840300216,0.700287608356105,NA
"LOC103690074",0.881293789510716,1.63581251068663,3.34540530741082,0.148172840300216,0.700287608356105,NA
"Dgat1",728.8772914843,-0.0856500977839539,0.222560137030833,0.148068930947858,0.70038762966178,0.999634216070306
"Flad1",474.110879678064,-0.0995076305329686,0.257979175951766,0.148007206836795,0.70044706327705,0.999634216070306
"H2afv",749.927054583102,-0.100490228070599,0.260109425727184,0.14800716728702,0.700447101363749,0.999634216070306
"Yipf3",2278.00176056742,0.0538912044220093,0.140112686563558,0.147870033147768,0.700579197602602,0.999634216070306
"Tcerg1",2181.55780080302,-0.0627105018599147,0.162877248955172,0.147848061446368,0.700600368663356,0.999634216070306
"Rad9b",34.0803693043017,0.261400321263447,0.679481968366867,0.14784155286381,0.70060664042225,0.999634216070306
"Spdef",1.79307475767895,0.729892351488424,1.88406519154956,0.147802269660016,0.70064449761795,NA
"Rab11b",3660.07925191581,-0.0682370096749046,0.177443311937492,0.147755060992608,0.7006900002176,0.999634216070306
"Klhl35",19.6884187822242,0.33717411311269,0.850215205371455,0.147747627922527,0.700697165425166,0.999634216070306
"Dennd5a",3208.49539287144,0.0604671273977021,0.157309326427588,0.147738072959442,0.700706376363828,0.999634216070306
"Lrrc36",2.22191821552854,0.6934074213069,1.88424621566035,0.147706110058191,0.700737190932353,NA
"Pcbp1",6317.79580292774,-0.101483300945826,0.263042317376126,0.147672225769043,0.70076986203774,0.999634216070306
"LOC100359574",432.627587223517,-0.0868990271652916,0.226139985801654,0.147649825956478,0.700791462215511,0.999634216070306
"Casp8",125.120663552958,-0.112504841178546,0.291689449606771,0.147633580551009,0.700807128864367,0.999634216070306
"Sec23b",1193.69592779107,0.10150652950983,0.264373553271618,0.1473928841896,0.701039366204995,0.999634216070306
"Spata33",15.6326335410913,0.228143057553956,0.594117831646663,0.147372023108069,0.70105950438888,0.999634216070306
"Syngap1",707.230078785578,0.105905449072243,0.275643902353851,0.147346565136274,0.701084082383049,0.999634216070306
"Fundc1",324.704903441263,-0.0937151701931531,0.243484429664077,0.147322257586637,0.701107551993996,0.999634216070306
"Carf",159.681158810747,0.147413607509143,0.384042753457901,0.147188665054486,0.701236578945796,0.999634216070306
"Fam184b",7.6853478309436,0.395829129540168,1.02403811824883,0.147184032188186,0.701241054686906,0.999634216070306
"LOC102553881",79.4645042133145,-0.119513139026531,0.310965430495659,0.14715270042317,0.701271325946198,0.999634216070306
"Cdc42bpg",371.317744246345,0.158359329215777,0.410299127869115,0.147036803639068,0.701383332040039,0.999634216070306
"Ajm1",35.7800516658976,-0.283561879062146,0.73773621140579,0.147027172364226,0.701392642268475,0.999634216070306
"Epha1",21.2864819541866,0.363826161853253,0.94186612911958,0.147004482551928,0.701414577127207,0.999634216070306
"Nudcd2",620.504786235779,0.0702220701756155,0.183054283685242,0.146991906890733,0.701426735197257,0.999634216070306
"Cdk17",535.668021976467,0.107141907497192,0.277658800532981,0.146877409642215,0.701537457866235,0.999634216070306
"Isl1",7.92199729152235,-1.18421448876577,2.25248008415319,0.146708401124844,0.701700985243013,0.999634216070306
"Fam19a3",0.888689259402643,-0.866087003382641,3.22067319801911,0.146664807160352,0.701743182926918,NA
"Tango6",238.223737085715,-0.0745804099435146,0.194791954568881,0.146581312979635,0.701824022934531,0.999634216070306
"Fsd1",49.0103934360264,-0.156395005864054,0.407708517153294,0.146431124702531,0.701969503394575,0.999634216070306
"Tead3",2371.73112576079,0.0882964416596606,0.230309752778457,0.146418831421826,0.701981415115242,0.999634216070306
"Efhd2",2864.47869935233,0.078033077967786,0.203446292873352,0.146413156692972,0.701986913904704,0.999634216070306
"LOC102556047",203.459012635084,0.097567784414552,0.254999167557576,0.146372775804949,0.702026046351034,0.999634216070306
"Tnfaip3",520.983227031369,-0.277516136856916,0.648747774467009,0.14635891219578,0.702039482770786,0.999634216070306
"Bcl7b",694.113281577593,-0.0698116053415359,0.18247578321925,0.146358849295893,0.702039543734155,0.999634216070306
"Pex5",771.454620565512,0.0626046464349827,0.163577149077257,0.146325712791835,0.702071662142985,0.999634216070306
"Aldh5a1",114.927157941769,-0.155360982763264,0.403554344286897,0.14621300116228,0.702180942005532,0.999634216070306
"Dnah1",63.9285654239283,-0.203174516253986,0.524031988848529,0.145971125479328,0.702415616297175,0.999634216070306
"Arg2",9.35116157489332,0.32975536298993,0.856606521672408,0.14596381534291,0.702422712255776,0.999634216070306
"Fbxl21",45.4132361778273,-0.19292942956169,0.50171536859267,0.145913018767494,0.702472026179778,0.999634216070306
"Ppib",5857.37123052157,0.0631144545352584,0.165089153352619,0.145672445667984,0.702705711129672,0.999634216070306
"Scamp1",973.756185086677,0.138234527261923,0.361452904148806,0.145643784607898,0.702733566293386,0.999634216070306
"Gpr155",12.5209670298852,-0.284410706215566,0.734489600470851,0.145582955462835,0.702792695440253,0.999634216070306
"Ccdc115",218.513300410285,0.0797573111537045,0.20903774921448,0.145562636580685,0.702812449621526,0.999634216070306
"Camkv",0.879020961416914,1.62309936517946,3.34624696872143,0.1454733527321,0.702899270823114,NA
"Slc37a4",358.696211917513,-0.0743275517696902,0.194675260857484,0.145460660236047,0.702911615709376,0.999634216070306
"LOC360479",8.51063698159072,-0.353564030580759,0.924437751007259,0.145409490641256,0.702961390178864,0.999634216070306
"Fbxo10",986.409574954365,-0.144178383261444,0.366852341776156,0.145295856021804,0.70307196246604,0.999634216070306
"Kmt2e",2575.96956467469,-0.10326337746196,0.270804563685959,0.145167771916803,0.703196654223702,0.999634216070306
"Abcb8",612.916017510734,-0.0615285726146344,0.161468102708546,0.145157266672797,0.703206884027899,0.999634216070306
"LOC108352370",1.43346320862955,0.98854676387889,2.38306855981287,0.145137366384507,0.703226263707345,NA
"Dqx1",35.2100651678166,0.204763055750653,0.53509812456902,0.145083395586553,0.703278830241882,0.999634216070306
"Xiap",767.823690764552,-0.106301974144832,0.279081732619934,0.145048760584189,0.703312569975913,0.999634216070306
"Rac3",31.9273950902137,-0.196588093763342,0.513922503678594,0.145045388820328,0.703315854830566,0.999634216070306
"RGD1307554",538.059902847317,0.0789973378251549,0.207442342616903,0.145002793835118,0.703357355669986,0.999634216070306
"Agfg2",428.149911083149,-0.0755558417247639,0.198388308922115,0.144989111712377,0.703370687818319,0.999634216070306
"Aox2",9.6011207393876,-0.380755961658817,0.991459514159703,0.14496992979182,0.703389380298173,0.999634216070306
"Kif1c",6250.3302397302,-0.0668336153505118,0.175128253192593,0.144871192571401,0.703485620575613,0.999634216070306
"Emc9",29.2829240831278,-0.19936182270921,0.522057890574526,0.144859131344838,0.703497379361786,0.999634216070306
"Selenoi",600.23049833286,0.117176550151793,0.30610224760696,0.14480034101571,0.703554703523488,0.999634216070306
"Scai",163.487056074083,0.135527176139725,0.356175593306136,0.14473444877072,0.703618968322464,0.999634216070306
"Trmt1l",384.042183836105,0.0659870789268596,0.173438534991398,0.144713332572856,0.703639566522941,0.999634216070306
"LOC303448",6.01003021202297,0.362088272453511,0.951711687923251,0.144704082659391,0.703648590070397,0.999634216070306
"Myo5a",797.298136625172,0.115688596783785,0.30259098469631,0.144633926082022,0.703717040509974,0.999634216070306
"LOC100912347",4.64049895619655,0.410208584207609,1.07855428245304,0.144574632203938,0.703774907238683,0.999634216070306
"Zfp951",20.8510692824332,-0.218467224635417,0.572736531949028,0.144553705570139,0.703795333430144,0.999634216070306
"Kmt2b",1317.67342313056,0.0782926657028739,0.205953095465913,0.144222131156411,0.704119204599602,0.999634216070306
"Kdm1b",144.566883520976,-0.0988736662824467,0.260361499780482,0.144199924739119,0.704140910324764,0.999634216070306
"Cmpk1",1785.47785562287,0.0768639911213997,0.202012189728613,0.144173755833805,0.704166491649759,0.999634216070306
"Tnrc6b",732.874006658807,0.111079036142918,0.292541660978448,0.144133833264746,0.704205522940164,0.999634216070306
"Rsl1",109.858802671348,0.163399792442704,0.430196264811586,0.144111920385335,0.704226949239536,0.999634216070306
"Tmed10",4995.90326615632,0.0623943480406253,0.164179804470806,0.144069107116252,0.704268817209617,0.999634216070306
"Thg1l",295.532221498496,-0.115114757037962,0.302790601510267,0.144004487304642,0.704332023723152,0.999634216070306
"Crisp2",0.885629993558398,-0.866249319872838,3.22399531415911,0.143946674633543,0.704388585726558,NA
"Zfp24",574.981963482555,-0.0633399608587662,0.166916674711977,0.143895410953036,0.704438751284315,0.999634216070306
"Mrpl27",534.136812875143,-0.112969261647798,0.296234670006279,0.143892752309,0.704441353256148,0.999634216070306
"Stradb",220.794602368301,0.0789398013699336,0.208070229476399,0.143881632288739,0.7044522365378,0.999634216070306
"Tmed8",620.296513634121,0.0833837374354276,0.21985363722569,0.143754365979177,0.704576827696668,0.999634216070306
"Med13",874.526458378547,0.0923444814724266,0.243223859038511,0.143706965510631,0.70462324792432,0.999634216070306
"Evi5l",682.115474185269,-0.0589885118812915,0.155606922587024,0.143680823218375,0.704648853340648,0.999634216070306
"Tmem208",511.249232782759,-0.100926722002221,0.264975944931364,0.143677977667238,0.704651640614378,0.999634216070306
"Bdp1",441.222361353389,-0.0818633788541527,0.215659808584427,0.143639333237985,0.704689496724389,0.999634216070306
"Elk3",2509.10440113777,-0.0915609429841965,0.239683065892042,0.143529066935599,0.704797545698221,0.999634216070306
"Txndc2",1.20042180030535,1.41064997171184,3.16105070690033,0.143520099769901,0.704806334631065,NA
"Cyp2j4",20.0748594286943,-0.276647297940624,0.724175070445838,0.143449621289513,0.704875423203563,0.999634216070306
"LOC100910200",9.73142836601783,0.356378973451144,0.925846570741536,0.143441401551868,0.704883482103126,0.999634216070306
"Tcp1",4831.06839953371,-0.138188020976064,0.362446824991457,0.14343111428596,0.704893568447007,0.999634216070306
"Diaph2",99.4846203213192,0.139217107206085,0.366898802412428,0.143416795642722,0.704907608119311,0.999634216070306
"Dpysl3",789.966151925886,0.26282239972354,0.610960592081082,0.143330369344639,0.704992367590008,0.999634216070306
"Mterf1",244.105602468571,-0.0805482372850006,0.21263370460781,0.143329520138472,0.704993200563223,0.999634216070306
"Usp25",931.528159932551,-0.0827178006986233,0.217899307878517,0.143287882945359,0.705034045303814,0.999634216070306
"Pomk",946.85499932781,-0.0823511367973424,0.217122164614315,0.143236216477206,0.705084737873107,0.999634216070306
"Galnt1",3728.22017025797,0.0784093575072316,0.20662642050983,0.14322032769654,0.705100329255945,0.999634216070306
"Yipf2",474.204153089848,-0.114665274950065,0.301470407367814,0.143178265230048,0.705141609193193,0.999634216070306
"Ptpn20",1.5384777821357,0.760148408242529,1.94731184362752,0.143152562667954,0.705166836997415,NA
"Clptm1l",3363.56692259528,-0.0807701655812231,0.213403817034621,0.143140520645971,0.705178657479114,0.999634216070306
"Tmem67",232.778398846245,-0.106548916277917,0.281306045314336,0.142930324951784,0.705385077759695,0.999634216070306
"RGD1311575",58.6905559180978,-0.191189801418405,0.505643066716535,0.142807056542338,0.705506212801842,0.999634216070306
"Cryzl1",359.085450607335,0.0838658205172004,0.221686716686042,0.142528551243572,0.705780118254018,0.999634216070306
"Rngtt",559.241215885451,0.0622002979055844,0.164829217797058,0.142394402674419,0.705912160312422,0.999634216070306
"Vwa3a",10.9554508242536,0.299966051523768,0.786474617550002,0.142322931659962,0.705982538044513,0.999634216070306
"Tmem151a",242.745119393407,0.731623042038802,1.91746554901345,0.142319245939916,0.705986167931884,0.999634216070306
"Zbtb1",545.90662400081,-0.0779081107385526,0.20645734425113,0.142305970956741,0.705999242265589,0.999634216070306
"Ccp110",281.35919987336,-0.0933183011452001,0.246802329146815,0.142288103758247,0.706016840503722,0.999634216070306
"Shisal1",17.5675428497902,0.25096978809944,0.652537646565867,0.142266786002509,0.706037839008173,0.999634216070306
"Hdac2",3119.05501076474,0.0637315079419346,0.168656319782307,0.142246138528293,0.706058178982397,0.999634216070306
"Ccdc90b",351.548128269122,0.0773215055746934,0.204724946753897,0.142178542281727,0.706124780326121,0.999634216070306
"Bola2",870.126410643269,0.0825970309519069,0.2189759079351,0.142173677687481,0.706129574019193,0.999634216070306
"Orm1",76.3708944658968,-0.990540940736692,1.96719672679059,0.142066003806512,0.706235702550449,0.999634216070306
"Fam222b",1014.17185233452,-0.0737978757544046,0.195479582681515,0.141933138663305,0.706366724122883,0.999634216070306
"Baalc",5.83270115365253,-0.40854466210631,1.05732959008399,0.141845812508208,0.70645287672723,0.999634216070306
"Ppef1",15.7701613735455,0.261935717807384,0.690741312122406,0.141829057878724,0.706469409658176,0.999634216070306
"Tyro3",492.500528436626,0.0653363715811855,0.173423188422086,0.141807420844465,0.706490762039403,0.999634216070306
"LOC367195",31.3958275330672,0.222858525547689,0.591129969048737,0.141711823277198,0.706585124211472,0.999634216070306
"Stard3",847.977018046066,-0.0610434240078774,0.162174646633492,0.141670729708849,0.706625697900439,0.999634216070306
"Ttc14",378.604239514844,0.0909663969057625,0.241324129205171,0.141649280455383,0.706646878465479,0.999634216070306
"Yars",2399.42939810598,0.10076908801976,0.265747290552378,0.141504507921852,0.706789885379075,0.999634216070306
"Slc19a2",113.972221253927,-0.128280864048175,0.340123891319227,0.141479946501917,0.706814155536791,0.999634216070306
"Stmn1",3776.27397071302,-0.171048656423951,0.449196738442719,0.141270952637228,0.707020768395722,0.999634216070306
"Aqp5",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"F10",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Cacng6",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Bcas1",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Car15",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Kcnq4",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Apobec2",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Noxo1",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Golga7b",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Cfap206",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Adgre4",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Krt222",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Cd96",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"Lax1",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"RGD1565170",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
"RGD1560813",0.374777185810724,1.33019959043641,4.04867120515256,0.141209063621495,0.707081985798405,NA
