gene_id,gene_symbol,WKY_Joint_5d_A,WKY_Joint_5d_B,WKY_Joint_5d_C,WKY_Joint_3m_A,WKY_Joint_3m_B,WKY_Joint_3m_C,SHR_Joint_5d_A,SHR_Joint_5d_B,SHR_Joint_5d_C,SHR_Joint_3m_A,SHR_Joint_3m_B,SHR_Joint_3m_C
192248,Cdh13,1460,2343,4933,973,380,875,1763,1852,1024,846,1835,1885
192249,Ehd3,1349,1831,951,2867,3996,2513,1409,1660,668,2663,1174,2219
192251,Gpr149,2,5,3,11,13,0,1,2,1,4,0,0
192252,Dctpp1,487,131,198,216,306,121,120,150,184,221,96,105
192253,Myo16,0,0,0,0,0,1,1,0,4,2,0,0
192254,Grasp,83,114,107,64,72,147,98,126,124,107,114,136
192255,Ubb,27179.49,24364.53,21651.88,26274.72,26314.34,32280.79,22457.13,24434.17,22883.12,24630.39,20125.37,36316.23
192256,Pja2,2368,2797,2206,2520,2326,2019,3196,2996,1982,2536,2970,1975
192259,Plb1,2,2,11,11,2,6,3,5,1,3,0,1
192260,Cdipt,3242,1902,2983,2068,2476,2287,2277,2632,2891,2656,2696,2831
192262,C1s,3151,33762,2358,40436,27682,8334,9130,9255,72,14453,5429,3831
192263,Pigl,95,64,57,109,109,73,49,62,50,81,51,66
192264,Ear11,0,0,0,3,4,0,0,0,0,0,2,0
192268,Gls2,348,187,298,268,349,259,443,548,274,538,418,224
192269,Sub1,1456,1586,749,1184,1369,695,1565,1699,783,1107,1186,697
192270,Plpp3,2792,6779,3460,7513,7354,6343,3077,3126,1074,4195,2949,5379
192272,Acot2,91.1,195.32,125.83,166.9,140,130.93,129.85,149.87,83.83,219.88,439.85,124
192274,Foxe1,0,3,0,0,0,1,0,1,2,1,0,0
192275,Dad1,3877,2297,3008,2655,3034,2962,2706,2884,3165,3020,2481,2853
192276,Coro7,396.99,405,895.12,332.05,353.92,842.04,401.25,418.83,651.98,368.06,325.13,1008.19
192277,Stip1,5355,2808,5329,2712,3826,4576,3261,3300,5620,3295,2787,4076
192280,Ppp1r3b,88,111,25,86,60,48,78,71,60,54,28,71
192281,Oas1a,12.99,1,1,8,22,6,1,3,1,6,0,1
192348,Fnbp1,373.1,289.24,612.06,225.19,208.3,473.71,269.68,272.2,401.21,267.3,265.84,571.87
192349,Caly,0,0,0,0,0,0,0,0,0,0,1,0
192350,Cdk12,773,873,1143,678,763,1012,876,720,1339,697,801,889
192351,Fbxo6,685,760,691,892,862,776,699,758,710,844,562,910
192352,Ss18l1,17,35,62,16,26,73,26,32,63,28,25,64
192356,Unc50,723,628,329,665,639,286,708,720,362,693,620,381
192357,Gmpr2,308,218,193,309,268,212,253,249,199,277,252,225
192359,Zc3h14,2003,1964,2650,1874,1967,3560,2250,2253,2506,2084,2014,2958
192360,Eml2,505,687,398,885,800,513,834,863,375,900,867,618
192361,Ppp1r2,1435,1476,953,1708,2075,912,1328,1447,846,1803,1632,883
192362,Lamc2,55,54,198,45,32,44,207,225,414,102,77,22
192363,Nos1ap,4,13,10,12,19,27,10,7,17,10,1,12
192645,Wbp2,1737,1597,8057,2449,2548,6680,1552,1602,6645,2067,1509,6450
192647,Mfn1,905,586,495,702,790,545,667,570,481,680,604,460
192648,Prokr1,0,4,1,2,0,0,1,0,2,0,0,0
192649,Prokr2,0,1,0,5,3,0,0,0,0,1,0,0
201097,Hist1h1d,4,0,4,2,3,1,2,2,1,6,1,2
207113,Tex101,0,0,1,1,2,1,0,2,0,3,0,0
207117,Dnah8,0,0,1,1,0,1,2,7,10,7,11,14
207118,Bod1l1,343,587,389,322,345,501,596,504,422,362,445,345
207119,Rin1,125.55,99.44,307.13,238.41,272.14,357.28,150.16,241.19,410.7,205.98,316.48,222.23
207120,Nudt6,14,28,20,34,31,28,21,26,13,33,30,42
207122,Pkn2,1791,1329,1400,1076,1202,1194,1263,1290,1384,1049,1331,1176
207123,RGD621098,338,409,312,391,374,323,393,380,279,350,360,406
207126,Muc13,0,0,0,1,0,1,0,0,3,0,0,0
245708,Gucy2g,0,0,1,1,1,0,0,0,0,0,0,0
245709,Exoc8,389,298,307,314,342,295,317,296,255,295,269,333
245903,Magi3,690,358,324,224,315,243,606,557,369,308,311,299
245918,Cgref1,247,384,460,367,441,574,578,530,990,788,656,1179
245919,Impg2,0,3,3,3,4,1,3,0,0,4,3,4
245920,Cxcl10,107,119,369,283,723,77,74,63,84,177,24,80
245922,Nup58,976,740,865,573,694,622,773,735,797,578,694,542
245924,Scaf4,633,577,2053,523,578,1849,618,637,2608,586,569,1624
245925,Phrf1,1273,1248,2099,970,1169,2054,1307,1333,2039,1132,1222,1897
245926,Scaf8,1242,1417,2226,1343,1280,1954,1329,1382,2106,1087,1185,1951
245953,Tmem37,7,5,2,21,35,3,2,0,6,9,3,1
245955,Lgals3bp,2206,3972,1957,2181,1938,1215,2856,2995,735,2088,2485,2246
245956,Scn3b,9,4,4,17,58,40,5,9,10,5,0,3
245957,Ddx46,2207,1580,1703,1772,1883,1906,1512,1499,2178,1666,1385,1719
245958,Atp5f1e,730,859,551,766,868,792,849,859,701,858,734,873
245959,Slc25a3,11040,8780,3542,9846,9656,3586,8527,9285,4365,9924,7320,3878
245960,Alg10,282,304,311,216,223,149,352,313,423,178,243,157
245962,Cd48,1235,1141,1464,835,843,1287,1116,1142,931,859,883,2107
245963,Egfl7,325,114,143,333,305,158,190,177,127,403,237,161
245965,Atp5f1d,3584,2378,4126,3173,2942,4088,2501,3011,4302,2962,2471,4632
245966,Tmem150a,205,841,800,903,814,1299,706,791,548,805,714,1050
245974,Commd5,218.45,178.63,171.79,183.55,218.25,148.22,179.94,232.36,144.09,215.28,186.02,147.15
245975,Setd4,581,511,375,505,602,320,527,535,409,552,549,314
245976,Xab2,806,742,862,673,715,829,836,832,918,755,643,963
245977,Adgrf5,0,1,0,0,0,0,1,0,0,0,0,0
245978,Cklf,47,49,12,54,51,14,42,33,14,69,27,14
245979,Lmo1,267,113,108,89,172,79,111,99,186,159,136,140
245980,Nr2f6,800,927,1012,730,751,1246,1022,1137,1117,828,999,1541
245981,Rpl15,15736.69,16640.59,10963.85,12841,11583.59,10566.57,13437.78,15188,13567.72,10656.01,10977.74,11994.69
245982,Coro6,13,30,102,72,60,99,31,40,105,57,29,62
245983,Il11ra1,2093,2882,575,1717,1749,898,1779,1897,428,1710,1285,977
245986,Gng8,230,449,213,562,301,124,173,162,53,444,204,136
246042,Nifk,1263,842,461,732,814,399,852,878,527,690,763,312
246046,Lmbrd1,440,711,447,1106,818,495,424,409,274,510,453,550
246047,Calcoco1,773.74,2327.68,1202,2420,1988.13,1924.57,1967.3,1861.21,803,1829.67,1275,2014
246060,Cdkn1c,221,876,205,27,71,49,124,127,97,16,2,30
246074,Scd,1442.34,633.18,2490.36,1010.67,1342.7,754,1911.13,1787.88,4008.47,456.05,822.22,4235.3
246075,Prlhr,1,0,1,0,0,0,0,0,0,0,0,0
246097,Fas,1016,1198,828,670,697,1075,1064,1037,326,814,1011,971
246115,Plpp2,426,337,202,732,656,236,329,335,233,476,326,202
246116,Ptpn4,127,221,150,290,264,221,221,177,197,199,231,171
246117,Mcfd2,2205,1445,1394,1652,1476,1205,1392,1428,1218,1791,1387,1432
246118,Tubb3,52,40,34,81,56,154,148,156,86,310,213,631
246120,Plbd2,2380,6381,3129,7627,6476,4347,4758,5077,2864,5953,5199,4362
246136,Man2c1,597,804,710,812,729,643,633,693,605,673,677,729
246142,Bmf,167,275,122,278,296,88,295,289,138,117,97,55
246143,Nradd,646,636,469,617,657,610,819,833,250,734,594,561
246144,Il3ra,62,185,72,159,140,141,168,169,133,151,124,227
246146,Hspbp1,1176,753,1092,720,758,868,671,705,981,743,589,924
246150,Akap9,268,441,473,329,405,729,544,435,637,412,542,491
246152,Wdr44,207,233,251,253,288,275,237,222,248,217,287,237
246153,Kcnc2,2,0,7,0,0,2,12,11,22,1,4,2
246172,Nexn,960,518,1161,137,179,867,1355,1208,798,738,1065,866
246174,Fgd4,12,30,13,30,43,21,17,16,21,20,19,29
246185,Dus1l,359,319,268,327,341,270,268,301,301,271,254,323
246187,Slc7a6os,489,474,259,338,443,286,400,347,301,340,322,278
246208,Ifi47,109,137,55,98,74,10,53,53,19,32,36,18
246209,Kif27,27,21,20,16,41,24,45,52,68,43,41,22
246211,Hsd3b7,368,531,311,996,801,495,435,472,154,778,434,651
246212,Sipa1l1,658,715,1659,384,324,784,844,896,1963,622,721,1065
