"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"Elp5",9.89174034794162,9.49031649738925,9.53682187219066,9.53382504060482,9.57890765517744,9.62589997671627,9.62995364918524,9.68096150757764,9.75393237013749,9.70537290151929,9.75825194481495,9.7180105530607
"Ctdnep1",11.1333589396463,11.0247002788075,10.9904970515211,10.9996272930298,10.9389770618338,10.9648813247752,11.0115674144616,11.035954078242,11.1084258461218,11.0259416844952,11.0679095624484,11.0552139340643
"Slc16a11",3.7310932820074,3.35937184450024,3.60765215823119,3.57579153287123,3.46601223411083,3.389711486208,3.7195050900547,3.76368665843829,4.08416068896144,3.57685187268252,3.74140121361507,3.38533253073951
"Slc16a13",7.45113839089076,7.50780509290499,7.88348019405555,6.66316398701103,6.80687183091562,7.15988861228609,7.60499452320153,7.66955346608696,6.98409565017731,7.60425988549992,7.60108310626349,7.4269706848682
"RGD1308134",9.2614809553825,9.08295275085132,9.05268276099613,8.80164967715779,9.01149568770367,8.87463597297472,8.94062687513717,9.01229396746246,8.9838680711221,8.93524138449747,8.77242886688087,8.99789827744369
"Rnasek",10.6720208134585,10.6122128627408,10.5234761328659,10.7699549936445,10.7287269247227,10.8337258763287,10.5924037417331,10.6045704035521,10.4153660748074,10.8869938251839,10.5153267666409,10.9185370818364
"Alox12",0.438879708812825,0.440777018929069,0.380640223015235,0.351626790960984,0.39650516671996,0.332716589612041,0.441680648119482,0.351468484743845,0.384829892651746,0.351648404493719,0.352467322630373,0.464340067426108
"Med11",7.80390758130245,7.27488997037617,7.56133719538883,7.45878974857752,7.71579248913114,7.3986204339305,7.56630219219574,7.36822057155005,7.60735122031467,7.63872950011212,7.38145263948746,7.53673349673233
"Zmynd15",4.83265285721524,5.50175689276089,5.55147404477779,5.89678977715257,5.380540680738,5.40989433429984,4.94676602340237,4.98219283394298,4.45303702588226,5.43347304729432,5.18608943767438,5.6657253701305
"Camta2",10.1894937120661,10.4366862746864,10.4559582524662,10.2908487890866,10.1252151970902,10.3650482757087,10.3415263415593,10.3996674758829,10.0946124545007,10.3828119414044,10.4625634166869,10.3987875915558
"Rpain",5.80630417141778,5.91221028986511,5.75276358124144,6.13650583769168,6.02248114731591,6.0141057891722,5.93931379629426,5.81840624965406,5.83707677849748,5.83716676320018,5.85370713146256,6.05910154453966
"Dhx33",8.74779470850986,8.54018572323284,8.62600700631967,8.3350430901135,8.25880846593413,8.26509571235436,8.63833335428949,8.56673217866568,8.7364234608979,8.27235331196744,8.42854235610515,8.26637041483713
"Wscd1",-0.422999187141535,-0.467667324025073,-0.488780234440205,-0.421325475468739,-0.422752584458985,-0.391702699492233,-0.467622599102629,-0.422295621847037,-0.387125026459884,-0.421193078949883,-0.467123465012503,-0.48888170761087
"Pitpnm3",5.86904822370027,6.14429247029275,5.97277800666495,4.10159279017025,4.65264044440201,3.62356734450999,5.91090285720618,5.99470650125696,7.40614693404985,4.53157530047276,4.41228757071382,3.80603079388271
"Foxn1",3.78817399100625,3.65143280311921,4.36090872984824,3.96279493024779,3.59497490798304,3.54544663813948,3.79826983558691,3.6499904251934,3.94136824078865,3.75458924887213,4.04562935313457,3.27520413879526
"Sdf2",10.280501766792,10.4324999715782,10.3036432091759,10.6617355300526,10.589690791238,10.6595437031263,10.3837408661585,10.4346909434548,10.1257919780082,10.5157878830138,10.383727181557,10.7522085766121
"Tlcd1",7.13457130956333,6.95254378078633,7.15026840428346,7.17941029653435,7.32932161065743,6.63325006466357,6.79086372402202,6.96349076200706,7.22962824433918,6.83458493147722,6.56245138201662,6.86047218524598
