"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C"
"Clock",10.2750848301113,10.1694612101548,10.0976289251195,10.0061808694448,10.0690916197943,10.1622803396331
"Gnb3",5.4768309620321,5.39746731167217,5.4051433360974,5.20582269374511,5.26901516021569,5.26942472773514
"Matk",0.805307449429305,0.83841063296753,0.736164458287182,0.672366804281824,0.707683081804775,0.775719525954535
"Hspa2",8.47054945342891,8.21660424866271,8.16681106650168,8.46816421043576,8.43139415029323,8.62654496490864
"Batf3",2.03704869584964,1.53496427397711,1.7149728368556,1.61460635707042,1.49248612464467,1.62457988891532
"Fgf16",-0.620570096125955,-0.549748948918813,-0.641609251409581,-0.620486610691755,-0.620559126103059,-0.56407313951021
"Cttn",12.8937911226002,12.6262025269216,12.6554636959904,12.5610855620147,12.6010326604634,12.6855922400096
"Stx7",9.74997221793079,9.78067188105654,9.65982793645333,9.653608738403,9.66002455789275,9.76231076118822
"Stx6",9.94800728691309,10.1385175406399,9.86196602221177,10.1234874311628,10.0457802523097,10.265930233301
"Hr",6.24664255362579,6.16682055715549,6.24835352812917,6.02035625471593,6.31046982715118,6.12379106819503
"Syt9",4.89736912639209,4.698956145857,4.88817295642832,4.5617161885972,5.0329262576038,4.70731090279673
"Syt6",-1.47770506727044,-1.4774256922436,-1.48987887256895,-1.50208364630933,-1.50243767711576,-1.48994716890061
"Syt8",2.04960699985044,1.851308151442,1.94820630050253,2.08496571197118,2.02028757122757,2.05487791674307
"Syt11",8.11906355313768,8.48575002274208,8.11663494582792,8.13083217742019,8.43036501530563,8.46637043847486
"Npvf",0.717950030194411,0.956073800677057,0.738422066851501,0.71819084445051,0.717981682122025,0.816676111870501
"Mybbp1a",11.9835125215403,11.6873218032866,11.8957691328275,11.6268374745473,11.7212263701393,11.6136799519292
"Treh",2.09054238489463,2.24514162769137,2.21127893334068,2.18984167614796,2.31936003272876,2.21116392739068
"Acaca",9.24538607031083,9.38672411075158,9.33742313526578,8.94181819569277,9.01837573076242,8.95872891849302
"Il1rn",7.70935746301967,6.94707499591224,7.18448411585217,6.84436351264776,5.98060078895553,6.55621426441542
"Lif",8.38806062299704,8.25004449824379,8.63246303651282,9.07691467307155,8.38029057332636,8.41519214730655
"Clcn4",6.12179380568116,6.07156327843501,6.48200321353835,6.66562214678642,6.51864168091181,6.20680724236886
"Dusp4",2.78227516169527,2.81668981523512,2.7919328823257,2.81809814198955,3.07975705423828,2.95647720425341
"Epha8",-0.2707378263304,-0.269959166878087,-0.24039777984764,-0.306060648293064,-0.270587633294735,-0.318274857550503
"Grm8",2.57233051417726,2.52151584052824,2.65934551500223,2.46304279080405,2.57336164967068,2.40577988258789
"Exoc5",9.75746665142784,9.6813510469337,9.66845993846492,9.57886036648851,9.67863692549355,9.67969755670688
"Cxcr4",2.46577159902942,2.43705968282225,2.66189101963621,2.33045370162728,2.28935180561435,2.09942737491044
"Unc5a",2.62960077027167,2.59709062343939,2.7474195910506,2.73120696961709,2.69519220588766,2.57912569355731
"Unc5b",11.1197074124324,11.2690189620056,11.1664143741447,10.7608913697806,10.6871643846471,10.7519766902882
"Ppp2r2b",0.83523128514648,0.806081253097005,0.807835002470629,0.738700683061131,0.771691876138281,0.76801754625082
"Max",10.8695310366887,10.90349747666,10.9059350446776,10.969519415848,10.9578529270894,10.9442653834654
"Insrr",-1.50240022555843,-1.50212262786559,-1.48986739999414,-1.50199452914502,-1.4530879410927,-1.48993526183674
"Pik3r3",6.78255423321045,7.31745798664473,7.10870337335165,6.69688937663587,6.89513443796771,6.73731464387773
"Cxcl6",10.5590507602235,10.4398143550009,10.7116549292226,12.6430550735854,11.4838047327907,11.8512075315777
"Gpd1",4.05561442579674,4.15552977642426,4.46640736615691,5.23888878738218,3.95279068256889,4.23500446992913
"Amph",7.49585040716289,7.20694145855003,7.5555532970122,7.36525407380919,7.12187275460476,7.03940605005124
"Cmklr1",9.52225322122765,10.064977541872,9.57002828665615,9.56538501776048,9.61177012733147,9.81216466743964
"Fut4",7.9578876549527,8.1511289686516,7.91272853205994,7.74389945392583,7.34397332925937,7.6857161713348
"Gulo",-1.97278560808162,-1.97263684543978,-1.96936900674818,-1.95936959296842,-1.97275671386663,-1.96940537343005
"Capn10",8.52045972936888,8.21679651102415,8.36651650456163,8.40819535777773,8.23983757990185,8.32612808447468
"Actn4",14.8614868780237,14.3712531430211,14.4445518761436,14.1362790101112,14.2116289131579,14.3457720960134
"Tagln3",0.035376667948726,0.0354644922844464,0.071235498503575,0.0355055495693046,0.0353936036707135,-0.000365341766979672
"Fhl2",10.6643799103163,10.07579629956,10.2324894955691,10.0107714804008,10.1164688606993,10.2012187799191
"Per2",8.92801386325735,8.8756739282953,8.99925174142669,9.82311766063899,8.98138235071608,9.30484216002718
"P2ry4",4.36309334352078,4.81307913736403,4.66889468862988,4.93954818860248,4.94080726895779,4.85936928059266
"Tmeff1",5.60757142403422,5.62314468775898,5.43249995919739,4.49585753602217,4.557924912667,4.70974932104379
"Fxyd6",9.14629432488099,8.51685277821548,8.45523457689022,7.10758850876291,7.98624051277087,7.92325348542491
"Fxyd7",2.99113035220026,3.36142822355896,2.66152744968211,2.99383489801198,3.07749658774099,3.55041758107399
"Fgf14",3.64710712141116,3.26634146186981,3.78553169206247,3.18148148095994,3.26362997021963,2.8937483251678
"Pter",7.44602040043169,6.79239723216339,7.26511988286709,7.32328713945815,7.43409235165027,7.23277867898466
"Hsd17b10",9.87281384580619,9.95440880977257,9.92750878713522,10.1605900656487,10.0462607084161,10.0895279276866
"Lgmn",10.8817714838045,11.4071037997218,10.9534502344375,11.5914211987754,11.2992848828229,11.6363404481248
"Asic5",-1.97278560808162,-1.97263684543978,-1.96936900674818,-1.95936959296842,-1.97275671386663,-1.96940537343005
"Hspd1",12.5262577106199,11.9221298308661,12.2812128723212,12.0789049393452,12.039153435133,12.0020100856609
"Stc2",7.37344039869919,7.70885665166853,8.03622492672334,8.62493593383708,9.20874271918491,8.42176292497151
"Xiap",9.32858404578809,9.77634136011632,9.66243078744094,9.69387237001036,9.62149979458618,9.54771799780953
"Dnajc3",11.0292055334208,10.6112316620827,10.5322594414288,10.7673045897473,10.9034874212506,11.123355161822
"Rapgef1",10.6782788946563,10.6700222967232,10.6448422937051,10.6054741854274,10.545809824227,10.6049503068119
"Asic4",-1.00553417812681,-1.00548852078783,-0.957958163508996,-1.00546717703898,-0.96904462957708,-1.03480908925635
"Kcne3",-1.009668048557,-1.0775900663864,-1.05165669721826,-1.04187627974339,-1.0776890985125,-1.05175504938138
"Pde10a",7.44091694696039,7.21689958727825,7.11965315018973,7.96830657155695,7.72880443853142,8.05781062197378
"Abcb9",4.87949340134099,4.77586347361824,4.68383025642412,4.67207079030541,4.459061272708,4.7094142125622
"Nmu",1.57534877152892,1.28857414442547,1.45749698930357,1.24883057950785,1.24850577283535,1.22313264484522
"Fam129a",11.5931014934823,11.8023233051607,11.8614509302706,11.3926737557612,11.5716797329808,11.3184382134219
"Hibadh",9.86365221378753,10.2376114711082,10.02171853696,10.4074484084772,10.327779376492,10.3965271979724
"Arhgap17",10.8563646219476,10.7330694687702,10.8371290124872,10.805167405703,10.808738583036,10.7645410272412
