"","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"Scaf4",10.0604498687363,10.0714607583627,10.329304997123,10.0234910404587,10.0886057403607,9.79269870683623
"Phrf1",10.6024927257352,10.605082140473,10.6523366196326,10.4860508190445,10.6456286314929,10.5172905387402
"Scaf8",10.6371455142168,10.6565695943017,10.6710074449709,10.472341568868,10.6391382646534,10.5315900260491
"Tmem37",1.7153453836528,1.65776972710083,1.83089571201774,1.89116031662423,1.75276553371707,1.67762476852972
"Lgals3bp",10.9941164447256,11.0226981216031,10.4928829500827,10.7170119434582,10.973571422459,11.3608160160403
"Scn3b",2.37257217814261,2.46505161830639,2.46089880476393,2.37352101518913,2.23756528780698,2.26345624495862
"Ddx46",10.7041842832426,10.6822062288021,10.869821393239,10.7956770025777,10.7296582251434,10.5860414766439
"Atp5f1e",9.66273769944172,9.65839505368779,9.59510501189638,9.67839287127781,9.63788833436453,9.72360196748955
"Slc25a3",12.5893689643336,12.6526881694423,12.7140669615296,12.7373554213923,12.5565860077037,12.5539323199064
"Alg10",8.26922378568662,8.1560363330646,8.48989888471426,7.73017437936007,8.057566667662,7.61660169817238
"Cd48",10.2670313212547,10.2725680530872,9.84692866507087,10.0494090744701,10.1656089375956,10.530380028133
"Egfl7",7.39443632175377,7.32730778119092,7.5432895762197,8.02945988289082,7.66561793016484,7.66512138178047
"Atp5f1d",11.641210663,11.7873345573093,11.7379726326636,11.7940797542093,11.7315023122101,11.7390910107007
"Tmem150a",9.49283438411507,9.57624329811806,9.31726795700065,9.61246356789026,9.60338302280409,9.8251941794631
"Commd5",7.34966126745698,7.54052725291865,7.48441082977196,7.49888680839231,7.4706930492623,7.44547335924316
"Setd4",8.78756173409647,8.78616515767481,8.97118391928835,8.83398623395473,8.92497752258175,8.69516140486554
"Xab2",9.77000926642664,9.75142689274807,9.72515151450446,9.68894843566137,9.64603194569319,9.70305675576018
"Adgrf5",-1.96248844200724,-1.97305182812556,-1.97001392749359,-1.97292564389865,-1.97235183959823,-1.97039494932125
"Cklf",4.83823140666677,4.70710257856587,4.85195687575228,5.13763204679144,4.67567114073266,4.82736171062609
"Lmo1",7.02790802693099,6.93814545357059,7.27166520319948,7.2968099617963,7.26108004532621,6.99030654061257
"Nr2f6",10.1427878490337,10.2210572612643,10.0260120096585,9.97034002236069,10.224788443192,10.2534747782668
